cluster,gene,score,logfoldchange,pval,pval_adj,pct_expr
-1,MIB1,6.356372,1.3119308,2.065748200365636e-10,2.162838365782821e-07,0.8888888888888888
-1,CNBD2,6.002074,3.2690938,1.948133570896518e-09,1.1898225784250485e-06,0.0
-1,MRPL45,5.6361575,1.9643828,1.738864899247704e-08,7.282366198049383e-06,0.16666666666666666
-1,NKX2-2,5.5469656,3.1402602,2.906698482488023e-08,1.1515239555759307e-05,0.16666666666666666
-1,TMED4,5.5093775,1.6158134,3.601053275903391e-08,1.3890589188997867e-05,0.1111111111111111
-1,PDE2A,5.4825287,1.5625675,4.19289494910542e-08,1.575883440102237e-05,0.3888888888888889
-1,CDC45,5.2700706,2.3911932,1.3637123033647157e-07,4.1644364464000006e-05,0.05555555555555555
-1,FCN2,5.016586,0.8852701,5.259772698181388e-07,0.00013067414950837758,0.05555555555555555
-1,HHIPL2,4.951316,3.8046675,7.371330454054864e-07,0.00017150628856434316,0.2222222222222222
-1,Smkr1,4.951316,2.8602266,7.371330454054864e-07,0.00017150628856434316,0.05555555555555555
-1,PPO1,4.9457355,3.4794407,7.585689177453134e-07,0.00017373598744235632,0.05555555555555555
-1,NCAPH2,4.871033,1.9377005,1.1101623737818298e-06,0.00020340950093617575,0.5
-1,LRRC9,4.861262,2.192042,1.1663992024364465e-06,0.0002035366608251599,0.5
-1,EPHX4,4.782026,1.8660461,1.7353737025344073e-06,0.0002845343709188524,0.1111111111111111
-1,DIS3,4.6761317,1.5943687,2.9233699469320084e-06,0.0004120265065589363,0.0
-1,HS3ST6,4.6761317,1.6058542,2.9233699469320084e-06,0.0004120265065589363,0.16666666666666666
-1,TSNAXIP1,4.673625,3.1916986,2.9592943791932957e-06,0.00041311749533538405,0.05555555555555555
-1,SOX7,4.669323,1.3843853,3.0219419289566215e-06,0.00041788325277968073,0.5
-1,TEKT3,4.659712,2.7325547,3.1665262655033095e-06,0.0004297679814791436,0.6111111111111112
-1,GJA8,4.6494565,2.1286952,3.3281119067125006e-06,0.0004434860393508348,0.0
-1,CNBD1,4.5950766,1.3957576,4.325901360177209e-06,0.0005032465249006153,0.05555555555555555
-1,tnfsf10l,4.56617,2.538529,4.9671601774959085e-06,0.0005600664144748848,0.0
-1,PLA2G4A,4.551792,1.2389003,0.003927945464021663,0.06732931221381906,0.018518518518518517
-1,TRAPPC11,4.518337,1.2117735,6.232724851727441e-06,0.0006921157642168246,0.05555555555555555
-1,CYP2R1,4.51236,1.51762,6.411027973486387e-06,0.0007065627671831839,0.0
-1,GPX3,4.494552,2.541176,6.97164757179535e-06,0.000740510218169393,0.0
-1,TBL2,4.4562626,3.86499,8.340091242853654e-06,0.0008669273610734776,0.2222222222222222
-1,TLDC2,4.4351087,3.8927925,9.20259307284718e-06,0.0009249771408774186,0.4444444444444444
-1,ABCD4,4.428308,1.3530917,9.497530679903002e-06,0.0009470394877960421,0.16666666666666666
-1,CALML3,4.4235287,2.4656043,9.71017810800604e-06,0.0009496932844697622,0.05555555555555555
-1,WDR74,4.41228,2.223384,1.0228759370463706e-05,0.0009735919146250455,0.0
-1,MEP1A,4.4003687,1.866923,1.0806708084337864e-05,0.0009936463320734325,0.0
-1,SWS2,4.4003687,3.0141342,1.0806708084337864e-05,0.0009936463320734325,0.0
-1,TTF2,4.4003687,2.5925415,1.0806708084337864e-05,0.0009936463320734325,0.0
-1,MYLK3,4.394579,3.8922353,1.1098774802751093e-05,0.0009936463320734325,0.0
-1,HDDC2,4.3896995,1.4706349,1.13507409450095e-05,0.0010083585501330257,0.4444444444444444
-1,frm-1,4.3772087,1.6992111,1.202087465142623e-05,0.001018508558616218,0.16666666666666666
-1,SLC5A6,4.371635,1.5694864,1.2331962848468044e-05,0.0010270563149593443,0.1111111111111111
-1,ALS2,4.3445377,1.1214412,1.3956910130831026e-05,0.0010881935569027723,0.0
