cluster,gene,score,logfoldchange,pval,pval_adj,pct_expr
-1,IGFN1,5.276876,7.2725554,1.3140475437137293e-07,0.0009630654447877921,0.16666666666666666
-1,PCSK7,5.1909013,3.851129,2.092787694552089e-07,0.0010225360675581508,0.16666666666666666
-1,PARP15,4.32481,5.000745,1.5266324099759114e-05,0.026763908757345092,0.0
-1,AP4B1,4.2677975,3.2988153,1.9741227752655822e-05,0.028936691639842905,0.16666666666666666
-1,ALS2,4.1409807,5.581418,3.458240124451509e-05,0.03379392249614015,0.0
-1,FBXW4,4.11776,4.8157153,3.825723390206963e-05,0.03488469669744409,0.0
-1,PI16,4.0867996,4.5044627,4.3736444557964764e-05,0.03488469669744409,0.16666666666666666
-1,MAP1S,4.0163317,3.0433202,5.91110584827292e-05,0.04125951882094499,0.0
-1,NUDT12,3.993918,2.3353486,6.499038476535941e-05,0.04330132090411992,0.0
-1,ALDH7A1,3.8934996,3.5562074,9.880831248390104e-05,0.06297096714734876,0.0
-1,IAH1,3.813697,4.6397257,0.00013690327741069298,0.08026912961143752,0.16666666666666666
-1,NKPD1,3.813697,4.6357365,0.00013690327741069298,0.08026912961143752,0.0
-1,Them7,3.7999046,2.9640958,0.0001447517594200058,0.08160658806070943,0.16666666666666666
-1,ANKRD16,3.7508383,5.558691,0.00017624442093421236,0.0898927021965947,0.0
-1,SFMBT2,3.7485676,3.862158,0.0001778474801269782,0.0898927021965947,0.16666666666666666
-1,ACBD5,3.7366574,4.8898363,0.00018648279408503134,0.09111549318994631,0.3333333333333333
-1,GUCY1B3,3.7123845,3.2405853,0.00020531583705827046,0.09708127547097188,0.0
-1,UBE2Z,3.6932805,3.4116938,0.0002213797230363186,0.10140574938332368,0.16666666666666666
-1,KEAP1,3.6434982,4.6871285,0.00026895754910178537,0.11595234572746971,0.0
-1,TRMT10A,3.6090295,3.7648878,0.00030734459849741697,0.1252059842808196,0.0
-1,ZBED8,3.608732,3.706723,0.00030769729560759386,0.1252059842808196,0.0
-1,TMCO3,3.5689774,4.836837,0.00035837754762004117,0.13296819093870635,0.16666666666666666
-1,HECTD1,3.5657227,3.4924994,0.000362854935021712,0.13296819093870635,0.0
-1,ISOC2,3.4803264,3.3609514,0.0005008030593029497,0.16683571007415085,0.16666666666666666
-1,CPSF3L,3.431658,3.5315363,0.0005999036965841173,0.19285157372907996,0.16666666666666666
-1,XRCC1,3.4249554,3.4273674,0.0006149001654099246,0.19285157372907996,0.0
-1,ST14,3.416154,4.0207386,0.0006351235316431243,0.19285157372907996,0.0
-1,RBMX2,3.4120848,3.26372,0.0006446805234496465,0.19285157372907996,0.0
-1,RNF31,3.370503,5.127724,0.0007503110729989522,0.2115011482311277,0.0
-1,BBS7,3.357931,3.9720838,0.0007852823731025525,0.21316053749883732,0.16666666666666666
-1,NAP1L1,3.329964,4.2962575,0.0008685724096216413,0.2314824432769821,0.0
-1,UNC80,3.3182027,2.5823119,0.000905986916143181,0.23298168801450433,0.0
-1,TIMM10B,3.3110137,2.1934938,0.0009295865213812874,0.234928952248395,0.16666666666666666
-1,PMS1,3.2910926,3.7754788,0.0009979900739225944,0.24321117281198998,0.16666666666666666
-1,ARV1,3.2716572,3.6707873,0.0010691914866357056,0.2487652192239075,0.16666666666666666
-1,RAVER2,3.232234,3.6167493,0.0012282639151465517,0.2727862495184569,0.16666666666666666
-1,ARL2BP,3.2133503,2.6841805,0.0013119612936055788,0.2870258006219489,0.0
-1,OVCH1,3.2012906,4.6211777,0.0013681352590095498,0.29154583246780447,0.16666666666666666
-1,HERC4,3.2003934,2.964445,0.0013724015855013309,0.29154583246780447,0.16666666666666666
-1,BCL2,3.1836874,3.320239,0.0014541188165785419,0.3044924801915467,0.0
-1,EPHX1,3.1302307,2.7990887,0.0017466910068758615,0.34598644295657266,0.0
-1,ERCC6L,3.125966,3.667147,0.001772220325858117,0.3463627404857104,0.0
-1,SETD2,3.094581,2.9987445,0.0019709123494800595,0.3751900418010223,0.0
